,id,scaled_rp,scaled_js,scaled_mfcc,scaled_skl,aggregated
0,music/Reggae/Calibe-Anything_For_Yoump3,0.0,0.0,0.0,2.643799484467036e-07,6.60949871116759e-08
1,music/Childrens's/Elisaveta-Vinti-Vinti_Spidermp3,0.3428363708786309,0.09442183033190207,0.03095950492613817,6.944177550372427e-07,0.11705460013860655
2,music/Jazz/Elena_Suchankova-My_Heart_Skips_a_Beatmp3,0.39725482304981197,0.05891432932550647,0.03179158916232895,7.477963613744093e-07,0.12199037233350218
3,music/Reggae/THE_PROCESS-Jah_Made_the_Herbmp3,0.38216314750885566,0.059628667409671716,0.052968958856967265,2.117219715817698e-06,0.12369072274880262
4,music/Jazz/Sabrina_Weeks-Another_Day_on_the_Planetmp3,0.4022369247953195,0.060033177785798454,0.0384565312857775,5.690720291816338e-07,0.12518180073473115
5,music/Jazz/Bernadette_Seacrest_and_the_Yes_Men-Tangomp3,0.42971279888369407,0.06027753283819021,0.03023024627650037,6.012886484741368e-07,0.1300552948217583
6,music/Alternative&Punk/Hot_Hot_Heat-Goodnight_Goodnightmp3,0.3656740289325962,0.11788178354577442,0.038569024377969836,2.281859362075238e-06,0.13053177967892562
7,music/R&B&Soul/Nashville_Session_Players-SOMEBODYmp3,0.4248191365305823,0.06547154699957614,0.03558843778188015,1.3359445334699392e-06,0.13147011431414302
8,music/Blues/The_Siegel-Schwall_Band-Going_Back_to_Alabamamp3,0.4119769508397741,0.0762228862794895,0.039496749880255755,2.0310180216108863e-06,0.13192465450438523
9,music/R&B&Soul/Dave_Stewy-Standin_In_My_Waymp3,0.429472471843399,0.0603325086955745,0.04012881971104863,2.8006548397663436e-06,0.13248415022621549
10,music/Hip-Hop/Mo_Blaze-So_Much_Painmp3,0.4122925148597827,0.0800090748958303,0.039809180104631775,8.793535992661988e-07,0.133027912303461
11,music/Blues/Doyle_Bramhall-Thats_How_Strong_My_Love_ismp3,0.4024013918745404,0.09505010207556924,0.03656690881279539,1.0437627145846574e-06,0.1335048616314049
12,music/Religious/Set_Free-Count_It_All_Joymp3,0.4197062805817956,0.07862145783726907,0.035887050720166305,1.148193550937071e-06,0.13355398433319549
13,music/Comedy&SpokenWord/Greg_Baumont-The_GWB_Theoremmp3,0.41535149710567654,0.05302565021816821,0.06872902303734223,8.207593705299584e-07,0.13427674778013937
14,music/Hip-Hop/Sound_Scientists-Desperadomp3,0.4289689112173928,0.06956468161631553,0.04033102491649313,2.342268502110352e-07,0.13471621299426292
