,id,scaled_rp,key,scale,scaled_levenshtein,scaled_js,bpm,scaled_bh,scaled_rh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Metal&Rock/DeathMetal/Gojira/Gojira-TheWayOfAllFlesh/08-TheArtOfDyingmp3,0.0, C, minor,0.0,0.0, 138.872344971,0.0,0.0,0.0,0.0,1.1260330341929936e-12,1.407541292741242e-13
1,music/Songs/Metal/Black(ened)/Numenorean-Adoremp3,0.07374198129810354, C, major,0.22954091816367264,0.034292881577616084, 137.410400391,0.19604561284363353,0.06880727539953362,0.06525801383567724,0.9640782241661141,9.698465731806708e-13,0.20397061341066508
2,music/Metal&Rock/BlackMetal/Primordial-TheGatheringWilderness/05-TheCoffinShipsmp3,0.10118733397464977, F#, minor,0.22629740518962077,0.04641352745093972, 138.450881958,0.1768126343884304,0.07216161570687091,0.08540213946171969,0.9296253231685367,2.0075919738640438e-12,0.20473749741784694
3,music/Metal&Rock/AlternativeMetal/Kvelertak-Kvelertak/07-SultansofSatanmp3,0.11824658552909761, A, minor,0.23552894211576847,0.008624522104573658, 138.709014893,0.15250814765708634,0.09263210399997925,0.1554690747755524,0.8990856398997396,2.094348062055008e-12,0.20776187701048648
4,music/Jazz&Klassik/100MeisterwerkederKlassik/Dvorák_SymphonyNo9InEMinorOp95_AusderneuenWelt_-4AllegroConFuoco(Excerpt)mp3,0.1284496110895884, E, minor,0.26397205588822353,0.061550759663668866, 139.591430664,0.12701850545219565,0.11210506285223888,0.11599867408169781,0.9206175847713776,5.862791068161602e-12,0.21621403172560671
5,music/Jazz&Klassik/LudovicoEinaudi-Divenire/06-LudovicoEinaudi-Primaveramp3,0.16687350918959218, C, minor,0.21906187624750498,0.10533610011985918, 139.052978516,0.11549428759758429,0.16694733509418216,0.1877043418463479,0.7701320413520111,1.3279590298557156e-11,0.2164436864325452
6,music/Metal&Rock/BlackMetal/BaiseMaHache-FERT/BAISEMAHACHE-FERT-02FERTmp3,0.10853065110049438, C, minor,0.22055888223552894,0.04164524831340082, 139.961975098,0.22080967224203765,0.07053627048470507,0.10104808701749556,0.9716447573997018,3.2078060242756337e-12,0.2168466960995715
7,music/Metal&Rock/AlternativeMetal/Kvelertak-Kvelertak/07-SultansofSatanmp3,0.11824658552909761, A, minor,0.23552894211576847,0.008624522104573658, 138.709014893,0.15250814765708634,0.09263210399997925,0.1554690747755524,0.9758474262098262,2.094348062055008e-12,0.21735710029924732
8,music/Metal&Rock/SymphonicMetal/Wildpath-Disclosure/Wildpath-Hollowmp3,0.13229138666837137, A, minor,0.22854291417165667,0.05155536935644828, 139.769775391,0.1710032887544787,0.1464176666642972,0.09829969637418819,0.9153018625294325,4.327428424453327e-12,0.21792652306540006
9,music/Metal&Rock/AlternativeMetal/Mastodon-BloodMountain/03-SleepingGiantmp3,0.1164751061137379, C, minor,0.2248003992015968,0.024774255665028236, 139.218582153,0.1690734668449605,0.1372646602287253,0.2358104101566796,0.8515177178707626,1.864936029286711e-12,0.21996450201041948
10,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-April/PigSquealsAndBreakdowns-April-07Solidarity-Fortitudemp3,0.1212258379923766, G#, major,0.22679640718562874,0.04952526067304871, 139.655715942,0.22481456218590964,0.1627596493241222,0.16808489015456654,0.8157212921983212,2.786830668473645e-12,0.22111598746459507
11,music/Metal&Rock/BlackMetal/BaiseMaHache-FERT/BAISEMAHACHE-FERT-06BaiseLeurMondeImmondemp3,0.09250974875440071, C, minor,0.218812375249501,0.04465045557665689, 139.615432739,0.30053685191913293,0.07029105936506765,0.07786211227335398,0.9651136781432078,2.6855162104907923e-12,0.2212220351605008
12,music/Modern&Soundtrack/Orchestral&Instrumental/IvanTorrent-Reverie-TheCompilationAlbum/05-Crystalline(featCelicaSoldream)mp3,0.15089007687325118, F, major,0.23028942115768464,0.008310684074398179, 139.702148438,0.23496301770755673,0.15693861434533285,0.09132222617145715,0.8997509881558997,1.6872260645743565e-12,0.2215581285609085
13,music/Metal&Rock/SymphonicMetal/Delain-ADecadeOfDelain/10WeAretheOtherswav,0.08420135693110829, G#, minor,0.24176646706586827,0.034657920542359694, 140.03427124,0.18857763798111934,0.09550671990735178,0.1870353085224234,0.9418345982342533,1.5403256482364441e-12,0.22169750114825304
14,music/Metal&Rock/AlternativeMetal/Rammstein-Videos95-11/KeineLustwav,0.10343611340672274, C, minor,0.21756487025948104,0.028839666308121674, 138.183578491,0.1849680652870669,0.11772003925183219,0.16406559388798322,0.9590146739603399,1.2816082582045717e-12,0.22195112779535364
