,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/R&B&Soul/4You-Dance_With_Memp3, C#, minor, 102.101425171,0.0,0.0,0.0,0.0,0.0,0.0007588490719374807,0.0,0.0,9.485613399218509e-05
1,music/R&B&Soul/Tequila-Whos_Gonna_Luv_Ump3, A, minor, 102.026069641,0.5017786336458103,0.37668095072296554,0.08964362932714329,0.20706371191135733,0.8867247457860854,0.04411615891180768,0.16881707378299643,0.10768430103874747,0.2978136506408642
2,music/EasyListening&Vocals/Nikhil-The_Michael_Jackson_Anthemmp3, A, major, 101.989936829,0.3420997586379199,0.21698501519441152,0.39733759205286,0.2451523545706371,0.9461274734646283,0.02325232515360914,0.13714831570830735,0.08135056777789802,0.2986816753200339
3,music/Latin/Imagen_Del_Amor-Tu_Eresmp3, F, major, 102.106315613,0.5202834953070481,0.3780544547582159,0.12442705100697851,0.18559556786703602,0.9491584947331964,0.015395587982810509,0.1408266235963385,0.07628410543232127,0.29875317258549317
4,music/R&B&Soul/MBD_Music_By_Dezign-The_Spotmp3, G, major, 103.007461548,0.5038361765803246,0.3554106580980267,0.2033965860713394,0.24722991689750692,0.9240645578500319,0.03481752934233472,0.07576148385928766,0.07925792457144656,0.3029718541587873
5,music/Hip-Hop/Es-Yoump3, D, major, 102.814422607,0.4877195395003902,0.3745925263514201,0.16617348013439728,0.2236842105263158,0.9027877211663267,0.06799886666673431,0.10495958160378027,0.10137211528936142,0.30366100515484074
6,music/Latin/Imagen_Del_Amor-Baila_Mi_Cumbiamp3, D, minor, 102.055709839,0.48166703236678804,0.31624435153738817,0.33093118084671264,0.19182825484764543,0.9300869913750631,0.026650477998202977,0.1294367715354942,0.06983235471596846,0.30958467690290786
7,music/Reggae/Case_of_the_Mondays-Muck_City_Skankinmp3, A, major, 100.857765198,0.4810877780732958,0.28898384312328435,0.26044143388967184,0.21329639889196675,0.9837752083887703,0.03823661983295898,0.1055833918467989,0.12663946606245,0.3122555175136496
8,music/Latin/Babalu-Rumbamp3, C, major, 102.45123291,0.5662062302071784,0.42101596718200845,0.08648550194269687,0.17797783933518005,0.9394994809520112,0.04524553201775638,0.18819689629804584,0.07358492056727672,0.3122765460627692
9,music/Hip-Hop/Foreign_Legion-Feel_The_Musicmp3, A#, major, 100.321166992,0.40679240272492456,0.2423350893771502,0.40444624047600464,0.23961218836565096,0.9329345011713498,0.016104956491707238,0.1098300242284279,0.1574565626152844,0.3136889956813125
10,music/Hip-Hop/beats_banging-FEEL_ITmp3, D, major, 102.041610718,0.4646569954704086,0.39492325840078485,0.21701447696323933,0.1987534626038781,0.9061860403381264,0.05493805543680429,0.21869778449427638,0.10612393464832182,0.32016175104447997
11,music/Hip-Hop/Zion-I-Birds_Eye_Viewmp3, B, minor, 100.777915955,0.4639392868659815,0.3358616431382447,0.337826845623324,0.27146814404432135,0.9858393720024946,0.025692537487183868,0.09870177710188238,0.055166371735419405,0.3218119972498565
12,music/Latin/Imagen_Del_Amor-Ahora_Tengo_Que_Llorarmp3, D, minor, 103.104576111,0.5696940866086223,0.4235675291632069,0.22744056275080485,0.18282548476454294,0.93000689486517,0.03297826253952889,0.1511930559222747,0.06413218389153467,0.3227297575632106
13,music/Latin/Anna_Canario-Morena__Sambamp3, A, minor, 102.769584656,0.582155995341141,0.5030788729066987,0.1399923121586388,0.21814404432132964,0.94491238634643,0.032673138290423925,0.17819515709360575,0.07230160919085252,0.33393168945614005
14,music/Latin/Charanga_La_Crisis-Bilongomp3, G, minor, 103.158233643,0.6067904102240771,0.440318950797229,0.25691691206604966,0.19806094182825484,0.9191586687509299,0.04085904395253389,0.17263025951635375,0.05282962284446411,0.3359456012474865
15,music/Latin/Cruzmonty-Me_dices_que_smp3, C#, minor, 101.982368469,0.5435764426624808,0.362394820338932,0.43400362061984066,0.1987534626038781,0.9520760976978475,0.01875885012009564,0.11118417116307645,0.09673683061619909,0.33968553697779375
16,music/Rock&Pop/hikari-ashburnmp3, G#, major, 100.443595886,0.46093991981164006,0.3533545221872849,0.5337064752340368,0.2278393351800554,0.9433138845415616,0.027197131074157038,0.10935395790586207,0.08709662625467482,0.3428502315236591
17,music/R&B&Soul/Peven_Everett-Testin_Memp3, A, minor, 99.9277801514,0.4619687933537358,0.2692396343278,0.598771395918314,0.19806094182825484,0.9551694542101584,0.061672709722993865,0.005887617141922681,0.19377448472023642,0.343068128902927
18,music/Comedy&SpokenWord/The_Shivtaz-JFKmp3, A, minor, 99.9083404541,0.45152849721258115,0.3289943247648727,0.5413136688307576,0.20637119113573407,0.9205749999800401,0.05797116394583959,0.1321886121463356,0.12425749788278362,0.3453999944873681
19,music/Jazz/Joseph_Tiscareno-Last_Nightmp3, F, major, 100.002548218,0.4030311899059907,0.2777668822908017,0.6006623536031113,0.203601108033241,0.8823366123482056,0.036029538449777625,0.22683067266997156,0.1425367045355515,0.34659938272958135
20,music/Reggae/Mr_Rich-Dis_Dick_Right_Heremp3, E, minor, 101.958740234,0.542357383281301,0.3960225459558972,0.3599187148168381,0.2126038781163435,0.9701453906922616,0.02142349956090444,0.12915789119161653,0.14624267114338624,0.3472339968448186
21,music/Blues/Shemekia_Copeland-Breakin_Outmp3, D, major, 103.982139587,0.5933391513269279,0.5258737862902119,0.34881276684246076,0.18559556786703602,0.9565152574143224,0.015318429636343259,0.10325847926780486,0.056614875335086266,0.34816603924752415
