,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Country/Robert_Allen-Its_A_Cats_Lifemp3, A, major, 92.7790222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Folk/Rockridge_Brothers-Down_on_my_kneesmp3, A, major, 93.0697784424,0.2586252873290858,0.25368032269618207,0.1448731380584997,0.22332670642809807,0.9121925088648738,0.039957936186919854,0.16437682414981672,0.038262704334641434,0.2544119285060147
2,music/Country/TROUBADOUR_TUNES-TONIGHT_WERE_CALLING_IT_A_DAYmp3, G, major, 92.6376953125,0.24558878003638346,0.3145946648221052,0.0809602601128409,0.17892644135188868,0.9476591650330043,0.046812649953697695,0.2013045058187256,0.08109134158335676,0.26211722608900034
3,music/Blues/the_Hollywood_Combo-Were_Gonna_Have_A_Party_Tonightmp3, C#, major, 92.3661346436,0.30787379808649057,0.3588673299762555,0.07833531020278811,0.1756129887342611,0.9599919123983556,0.0586822172855379,0.20840427178607485,0.05659174512431354,0.27554494669925966
4,music/Rock&Pop/Steve_Turner-I_Want_You_In_My_Armsmp3, A#, major, 92.8934555054,0.2830650361066934,0.3082763888025752,0.11763786414085381,0.1895294897282969,0.9631829147774617,0.04543441795343785,0.15721832009849315,0.14674228054408492,0.27638583901898706
5,music/Alternative&Punk/Cursive-The_Radiator_Humsmp3, D#, major, 91.7392883301,0.22536319118415032,0.19896566906033344,0.24109958673012927,0.19814446653412857,0.9621321485106893,0.047998392490753675,0.16707498665558118,0.18543947634357505,0.2782772396886676
6,music/Rock&Pop/Fresno-Verdades_Que_Tanto_Guardeimp3, C, major, 92.4603881836,0.26241964180427396,0.2643768615615186,0.36395676387849785,0.20742213386348576,0.9341527015899989,0.03305801124364573,0.1326343465709006,0.044222350139577926,0.28028035133148743
7,music/R&B&Soul/Joe_Mc-Sweet_Sugar_Honey_Ice_Teamp3, D, major, 92.9858322144,0.4455885671486014,0.2666322012277262,0.15410224639898157,0.19218025182239895,0.9625319914837763,0.031419799992969843,0.1633356046536258,0.032411956778414706,0.2810253274383118
8,music/R&B&Soul/Yoko_Shintaku-Dependencemp3, F, minor, 92.9326858521,0.3381744632034576,0.31660262189522087,0.19065347451188622,0.1954937044400265,0.958290343680857,0.02700438971122392,0.15498906975717722,0.07436842245798682,0.2819470612072295
9,music/Religious/Anne_Brehm-Be_Still_And_Knowmp3, B, major, 91.9765853882,0.3132795279518881,0.2668934878333698,0.23397279473090485,0.24652087475149106,0.969783606190917,0.03760120572054028,0.16174851109180613,0.030961347378895308,0.2825951694562266
10,music/Country/Eddie_G-Dear_Mammamp3, D, major, 92.0272598267,0.30811491663962376,0.3956901463970557,0.18144962454137886,0.17892644135188868,0.9596514394792548,0.02147124592241451,0.2084390891731886,0.01641365406220408,0.2837695696958761
11,music/Latin/DJ_MrHigh-Patiently_waiting_Reggaeton_Remixmp3, A, minor, 92.8295974731,0.37189780849614773,0.4251742336018215,0.11121962567845818,0.19483101391650098,0.9616285611765129,0.011540062047451966,0.1138233740506016,0.10064056702059626,0.2863444057485114
12,music/Blues/Isabelle-Am_I_Too_Bluemp3, C, major, 93.9981536865,0.2551604461165288,0.2630339516096831,0.3495591308658264,0.1756129887342611,0.9328139126592019,0.04650866625950209,0.23076090727654516,0.04719591792531514,0.28758074018085794
13,music/Childrens's/Vili-Bellsmp3, A, major, 91.8727493286,0.2943513975712651,0.39320048377707584,0.19132622919152625,0.17892644135188868,0.9522702506955213,0.03086508917929257,0.16094634388085954,0.09914227089700121,0.2876285633180538
14,music/R&B&Soul/KHALIAH-Feels_So_Goodmp3, A#, minor, 92.9080734253,0.31287194040919253,0.388634000755958,0.13738795656088035,0.20278330019880716,0.9278925188308945,0.05333423654619561,0.21288223345324964,0.0874697716980537,0.29040699480665394
15,music/Country/Robert_Allen-Walked_Outmp3, D, major, 89.129447937,0.21503681477670755,0.2112795204140176,0.5942069689200736,0.1855533465871438,0.943690401777038,0.009875585380686088,0.11733056436890359,0.05084011870285948,0.2909766651159287
16,music/Rock&Pop/Cabala-Por_ultima_vezmp3, G#, major, 92.7789077759,0.30155767213319296,0.3868241899345907,0.17721055097855556,0.19218025182239895,0.9568374524340504,0.020976263536108437,0.2080143424047412,0.08910972623484659,0.2915888061848106
17,music/R&B&Soul/Fifty_Four-The_Touchmp3, E, minor, 91.5419235229,0.275723045583717,0.37336139054235934,0.270363445310986,0.20742213386348576,0.9490672399678276,0.024786114504811527,0.16037304751173326,0.07194650586073587,0.291630365393207
18,music/Religious/Randy_Vild-Glorifiedmp3, C, major, 92.9845962524,0.33515860695121186,0.4194326082081184,0.13257963202292616,0.17627567925778662,0.9297768660631489,0.038026798555591254,0.23597038193015665,0.06871135368991675,0.2919914908348571
19,music/Country/Nashville_Session_Players-ANTHEMmp3, F, major, 95.9888839722,0.2115001007977368,0.23075262476233707,0.570448581408205,0.19350563286944997,0.9359889271385573,0.020421279247979127,0.1492405089604748,0.026505258952639443,0.29229536426717245
20,music/Country/Donny_Sawyer-Invisible_Manmp3, G, major, 94.5191726685,0.21366713643903903,0.20880293619720716,0.5353020187141112,0.1709741550695825,0.9615216546025165,0.017707791692312052,0.13965766182893388,0.09453448812547358,0.292770980333647
21,music/Jazz/Pamela_Hart-Catch_Yourselfmp3, G#, minor, 93.2102355957,0.2668574264606925,0.35118068146098635,0.16761446555254966,0.20609675281643472,0.9762722238541747,0.02073673310630518,0.19679085518680767,0.162931458530394,0.29356007462104305
22,music/R&B&Soul/FlyManTell-Get_Itmp3, B, major, 93.1916732788,0.27545580199733166,0.26059397566343717,0.17285720042797223,0.3015241882041087,0.9458055101758713,0.04860436778699485,0.17942740162781198,0.17116061639034222,0.2944286327842338
23,music/Country/The_Merritts_featuring_Randy_Howard-The_Fall_Line_Bluesmp3, A, major, 91.6050643921,0.2883073051794487,0.27286746597663736,0.22375333325125119,0.1709741550695825,0.9701051644610992,0.07166670904339627,0.2690516481093577,0.0894674170410433,0.294524149766477
24,music/Alternative&Punk/Armor_For_Sleep-The_Truth_About_Heavenmp3, G, major, 91.808555603,0.2572430902642345,0.3628593014504005,0.1813720387956147,0.1802518223989397,0.9653770577603809,0.06542345335059417,0.3009123419906934,0.05013995973800217,0.2954473832186075
25,music/Religious/Assumption_Church_choir-Gospel_Acclamationmp3, D#, major, 91.9338912964,0.2944528663673773,0.22131393931861107,0.22437251897623958,0.19284294234592445,0.9712595119467093,0.11181818971639707,0.23993126579382307,0.11297029036131774,0.29612019060329997
26,music/Soundtracks&More/Dean_Krippaehne-Poolside_Yuletidemp3, F, major, 91.9211883545,0.2972875366051285,0.3727925456779649,0.1570896403384006,0.17229953611663354,0.9495768674262496,0.04131061069382455,0.29562787366848936,0.0893805369688704,0.2969206434369452
27,music/Blues/Hitman_Blues_Band-1000_Feet_Aheadmp3, A, major, 92.0300064087,0.30828064514994424,0.406211412143303,0.21780001434023585,0.17627567925778662,0.953146626827434,0.047988766872931826,0.20440036104760817,0.06577521721840122,0.2974848403572056
28,music/Religious/Jacob_Swann-Slide_on_out_slide_on_inmp3, C#, minor, 92.9888763428,0.3087257425942357,0.4608622874543701,0.14332355710688535,0.17958913187541417,0.9823246665566158,0.0346683002737579,0.20870245515536123,0.07500517304986455,0.29915016425831314
29,music/Country/TROUBADOUR_TUNES-COLD_DAY_IN_JULYmp3, D, major, 90.10597229,0.2579388167919218,0.1911856328656181,0.5053501185138757,0.1802518223989397,0.9777660187095585,0.05031136644846272,0.14881313085622305,0.09162938084274697,0.3004057859284183
30,music/R&B&Soul/Full_Album_Stream_Choklate-Waitin_Ft_Chali_2namp3, F, major, 92.9680862427,0.45269022587763913,0.36954898910886125,0.1305447747998394,0.17760106030483763,0.9682138154168202,0.044849995072212614,0.1792194068237022,0.08288100481267563,0.30069365902707346
31,music/Rock&Pop/American_Music_Club-Another_Morningmp3, E, major, 91.9775848389,0.3573357288453874,0.5010338130574177,0.14862256395760712,0.1709741550695825,0.9747524743697771,0.028792396437262762,0.19107027086469489,0.03503041779823336,0.30095147754999535
32,music/Country/Jim_Stringer-In_My_Handmp3, E, major, 91.429725647,0.35720197978232504,0.36019547277845776,0.31115999368036357,0.18356527501656728,0.963578512016944,0.0428164323925172,0.16488172877359744,0.026119371463343335,0.30118984573801444
33,music/Blues/Flying_Tom-Leaving_the_citymp3, A, minor, 92.8142700195,0.2901524406103252,0.3125078432891317,0.18907101758665418,0.2001325381047051,0.9721740729141526,0.10496540247010905,0.29338384791265615,0.05143128003284249,0.3017273053650721
34,music/Reggae/Ruskabank-Give_It_Upmp3, G, major, 91.6451339722,0.28980797892299887,0.4316843512196352,0.2529054238682983,0.1802518223989397,0.9600607628821313,0.05492865522510821,0.2161489799477129,0.03629639462111476,0.3027605461357424
35,music/Hip-Hop/Gym_Class_Heroes-Papercutsmp3, G, minor, 92.7538528442,0.3421267017369977,0.34231303625205767,0.15651788033931938,0.17760106030483763,0.9603563470331372,0.06042343563819824,0.18661461346761835,0.20624648338621118,0.3040249447697972
36,music/Alternative&Punk/Silverstein-Smashed_Into_Piecesmp3, D, major, 92.0028076172,0.2760627172959475,0.3214350637205321,0.3056568764379682,0.1862160371106693,0.956580746750116,0.07113849239901035,0.21932397300607737,0.10832009454407061,0.3055917501580489
37,music/Reggae/GIOPs-Cunning_Solutionmp3, E, major, 92.9750213623,0.3929180935547391,0.5188278718522141,0.17505021669172413,0.19814446653412857,0.9386899102370906,0.046140183849289466,0.15148068622402952,0.029500817997827285,0.3063440308676303
38,music/Country/Donny_Sawyer-If_I_Knew_Where_To_Beginmp3, C, major, 96.6152877808,0.2053129339324057,0.18221872689231922,0.709112661176336,0.17627567925778662,0.9433100377725268,0.022269732637144667,0.15962013180135373,0.05779654148073724,0.30698955561882624
39,music/Hip-Hop/Espadasofia-Los_Liricistas_de_los_Inocentesmp3, B, minor, 93.0129852295,0.41720451684932747,0.4074500513829257,0.1771543824681615,0.18820410868124585,0.9533930541227981,0.03924071581427811,0.15720488489477982,0.1184178034014451,0.3072836897018702
40,music/Reggae/Aisha_Jambo-Lembranamp3, C, major, 93.9432373047,0.3884013090192038,0.3974059878596392,0.36652013277030493,0.18091451292246521,0.9421450762680945,0.02894981217514627,0.1283975569934969,0.030509109272040074,0.3079054371600488
41,music/Religious/SetApart-Draw_Memp3, C#, major, 92.0906448364,0.3790119396724157,0.4936572934482942,0.1529924430267913,0.27634194831013914,0.9543372056687704,0.036039152958937885,0.1354462696107625,0.03635636174814698,0.3080228268055323
42,music/R&B&Soul/CRE-No_Moremp3, A#, minor, 92.7592926025,0.40264979571103315,0.3877647466595094,0.17683829718286792,0.20079522862823063,0.9772953673092163,0.03848262499012935,0.1494691627574613,0.1332953656098958,0.308323823606043
43,music/Jazz/Bossa_Deep_Groove-Choro_Cafeinamp3, D, minor, 92.7970352173,0.35438167946986127,0.4460992283404381,0.03046362468809211,0.20212060967528164,0.9521143662166436,0.09843263603643024,0.34421262525849516,0.044319711311020124,0.30901806012453276
44,music/Childrens's/Kids_for_Christmas-Heavenly_Lightmp3, D, major, 91.8885574341,0.2886110636484486,0.3111970382839574,0.2793514933555355,0.18290258449304175,0.9254447429786429,0.10556133970568897,0.33328743250543263,0.04824184549771399,0.30932469255855766
45,music/R&B&Soul/Xavier_Aeon-Whuut_Featuring_Jadakissmp3, F#, minor, 92.1298675537,0.5786823523618604,0.4035404907362124,0.17998122474098338,0.17362491716368456,0.9079636819667095,0.05237734078729277,0.11638778285884344,0.06223702834970466,0.30934935237066136
46,music/Religious/NSG_-_New_Source_Gospel_2005-Kurios_Fall_Apartmp3, G, major, 92.0607757568,0.30819044552229424,0.3326337794926435,0.17683564589467293,0.17229953611663354,0.9593253852311934,0.0814192499050009,0.3004657913806214,0.14433902369922724,0.3094386071552858
47,music/Blues/Blues_Allstars-Stiks_Chicago_Bluesmp3, A, minor, 92.2849884033,0.3017560742900609,0.34804588016414917,0.24769363793263463,0.22332670642809807,0.9561883873619941,0.052067231801118705,0.21917036679675084,0.12779358772392696,0.30950523406234165
48,music/Soundtracks&More/Andrey_Polupanov-Song_blindmp3, A, minor, 178.205673218,0.212842890482935,0.1937961346770051,0.7007017403728234,0.2299536116633532,0.9445638109525931,0.02116362814778147,0.12483087408457805,0.048947876528459826,0.3096000708636912
49,music/Hip-Hop/Inna_Maddness-Surviving_This_Gamemp3, G, minor, 92.8025360107,0.47507972647437285,0.4401490615223096,0.13051099350830145,0.2379058979456594,0.9689767018967895,0.043566415453101186,0.12441944373483814,0.059874134710922754,0.31006029690578685
50,music/R&B&Soul/Bettye_Lavette-Down_To_Zeromp3, A#, major, 162.130477905,0.24672668837134737,0.17787497076592232,0.5960388150661042,0.19151756129887343,0.9457105307389977,0.02391674339572211,0.17098206383169634,0.13158660271851638,0.3105442470233975
51,music/Jazz/John_Comerford-Funky_Baby_Down_in_Ivory_Townmp3, G, major, 91.9722061157,0.24641677466864942,0.3594647334197371,0.30542428733114657,0.17958913187541417,0.9528843148216979,0.050338423714175906,0.2913274371905643,0.11064932526070316,0.3120118035352611
52,music/Religious/Bobbie_J-Stairway_to_Heavenmp3, F, major, 94.063659668,0.36199811011185495,0.34213121454945894,0.2927807983207232,0.18687872763419483,0.9336847165887652,0.06205535142771913,0.1961770468406155,0.12073136423280109,0.3120546662132666
53,music/Religious/Rebecca_Anne-Never_Walk_Alonemp3, C, major, 92.9117202759,0.40547574217771615,0.3423325131279397,0.16807941097015627,0.18422796554009277,0.9371460018697139,0.09544512732282262,0.301395900985846,0.06498141992218195,0.3123855102395587
54,music/Electronic&Dance/SEXYDEATH-DEATHLICIOUSmp3, E, minor, 94.8717041016,0.25581042491105455,0.3245387170270377,0.528031074235759,0.2100728959575878,0.9639113578188262,0.035992083022090074,0.16339593116490977,0.029176150315345675,0.3138660793065763
55,music/Comedy&SpokenWord/Bard_Marc_Gunn-Middle_Earth_Bragging_Songmp3, D, major, 99.88671875,0.21542862085556083,0.2400942260482462,0.5148199508893481,0.18290258449304175,0.9624176502884457,0.11007019893357921,0.2339280642964724,0.052163105914377894,0.313978050214884
56,music/Religious/Randy_Vild-Pass_Over_Memp3, G, major, 92.9769897461,0.357499212778006,0.4369737303103421,0.29192809230476663,0.21206096752816433,0.9317819731647718,0.04073890424287212,0.22079756529246083,0.02235768174549138,0.3142672659208594
57,music/World/Akoya_Afrobeat-star_warsmp3, B, minor, 92.2368850708,0.39123831639456214,0.48806307685702816,0.15990674397702334,0.19350563286944997,0.9740648619840511,0.05262045241739784,0.2052430544510442,0.05138541331790507,0.31450344403355773
58,music/Latin/Alfred_Gomez_Jr-Traicioneramp3, F, minor, 92.4202957153,0.3323706100456746,0.4625289676310084,0.24484426617671207,0.1988071570576541,0.9620293618972935,0.03814279129794544,0.22105522576370715,0.058417174949597965,0.31477444435244917
59,music/Alternative&Punk/Midpoint-Perfecting_the_Art_of_Indifferencemp3, E, major, 93.0982513428,0.3207637136292794,0.36255266262028,0.22261408118042697,0.19284294234592445,0.9560746393509533,0.11746962775023748,0.2638755730539307,0.09407238387124217,0.3162832029752843
60,music/Childrens's/Kids_for_Christmas-Lets_Celebrate_Christmasmp3, C, major, 93.5342559814,0.2908213710454475,0.2902937345554754,0.33938956533669085,0.20675944333996024,0.9457390426064581,0.07440112086311498,0.3224184511731667,0.06127431598466114,0.31638713061312185
61,music/Latin/Junior_Cia_Show-Junior_Cia_Show_Mistura_Alucinante_-_Vem_Ca_Mamaemp3, G, major, 92.4539489746,0.31801591086258985,0.3140879470637277,0.23449224028730964,0.1815772034459907,0.9762231793347071,0.07854621662904848,0.26982740722106635,0.16771731646224478,0.31756092766333555
62,music/Blues/Bernie_Clarke_and_the_Rhythm_Sharks-Married_Manmp3, C, major, 99.3605194092,0.25017956621615295,0.21494815323190047,0.6077877723726561,0.23260437375745527,0.962687283763821,0.04014526296810479,0.1565820551756495,0.07970499569194106,0.3180799328972102
63,music/Religious/matthew_glass-adorationmp3, E, major, 152.519775391,0.2570355478167247,0.23223999759222283,0.5983542044464457,0.19615639496355203,0.9536594934425107,0.04381303158568697,0.19031609972830293,0.08156004673535001,0.3191418520388495
64,music/Comedy&SpokenWord/Distorted_View-The_Queefton_Schoolmp3, D#, major, 139.768386841,0.267865033589064,0.22526635659780483,0.4946887842904682,0.2664015904572565,0.9617598775041287,0.03383019322756645,0.28054185120507524,0.03179338350192319,0.3202683837966609
65,music/Alternative&Punk/Cursive-The_Martyrmp3, G, minor, 116.499702454,0.2672223207470991,0.24926924187742974,0.6293462373383529,0.22001325381047052,0.9578964596513907,0.029842657675186814,0.18165417945155507,0.029639275348308753,0.32061045323747417
66,music/R&B&Soul/Havana-Shinemp3, G, major, 92.9888763428,0.48980323059986036,0.3529028275770346,0.18900778759648232,0.1848906560636183,0.9800111329679683,0.0655496046340988,0.2504049052683331,0.05270560529354565,0.3206594687501177
67,music/Country/Terry-Lovers_Moonmp3, D, major, 96.2132644653,0.23836792728938133,0.21826547049377146,0.5856092422302771,0.17826375082836315,0.946695321079481,0.047119113007493545,0.24836650444331265,0.10467452720676378,0.32092023207235554
68,music/Religious/Hope_Carr-I_Know_that_You_Love_Memp3, D#, major, 91.9955749512,0.34630693845710414,0.30882536275024597,0.19385544173151417,0.22266401590457258,0.9612856916358343,0.06438738009622116,0.2287638902080045,0.2420326915549058,0.32101517654230033
69,music/Country/Terry-The_First_Time_I_Fell_In_Lovemp3, A, minor, 89.379776001,0.2523901512928675,0.28022739834271676,0.5501544575836826,0.19350563286944997,0.9740470747294343,0.011636432597750847,0.1284656526155447,0.17934395722843527,0.3212213446574852
70,music/Country/Jesse_Dayton-Just_What_I_Neededmp3, D#, major, 122.068321228,0.24761255608436059,0.23617753513868586,0.6622460596166853,0.18886679920477137,0.9285108632039455,0.02669119214637154,0.19578615331235927,0.08508558871460825,0.3213720934277235
71,music/Childrens's/Kids_Zong_of_the_Week-Its_Raining_Too_Hardmp3, C, major, 91.9417266846,0.3227441253616547,0.4084092969020434,0.15923406689606215,0.19946984758117958,0.9766489360782108,0.06773260090748326,0.36240881885772297,0.08474531533374802,0.3226741259897631
72,music/Folk/Virginia_La_Iacona-Repique_de_Asombromp3, G, major, 99.4104766846,0.27490726885894184,0.22251805307497463,0.52387188851284,0.17826375082836315,0.9359556870570355,0.04095465308251424,0.20444033259968447,0.20147501988385866,0.3227983317372766
73,music/Latin/Llave_de_Paso-Saliste_tmp3, A, major, 108.267524719,0.2621152122759611,0.24774933253234213,0.564585690824308,0.20808482438701126,0.9513141672413692,0.0350990309989071,0.17841564902703788,0.1353879164578453,0.3228439779680978
74,music/Blues/Left_Tail_Light_Band-Tsunami_Bluesmp3, C, major, 96.1953582764,0.24939785153650368,0.2877661126677601,0.5983989530179316,0.16832339297548046,0.9568678214498787,0.036076016990224315,0.21185150938554986,0.07433316521611455,0.3228768529049304
75,music/R&B&Soul/Nashville_Session_Players-SOMEBODYmp3, A#, major, 80.9895172119,0.262390230894386,0.22259340869495775,0.7587133228550975,0.18820410868124585,0.9575896332080113,0.030720047977111142,0.12766982381368633,0.035910217255505396,0.32297384917250016
76,music/Rock&Pop/MBD_Music_By_Dezign-Serenamp3, G, major, 94.978302002,0.36726060352390366,0.31748996434268134,0.6134388702956707,0.19681908548707752,0.928952793747412,0.017641276935476034,0.11740391543919718,0.02606616466604526,0.323134084304683
77,music/Latin/Odisea-ESA_MUJERmp3, G#, minor, 94.4438400269,0.37397471392972886,0.4193522238764432,0.3662818013612464,0.1862160371106693,0.9785784655845229,0.038566375267163666,0.1888559645382143,0.0340591126710469,0.3232355867923794
78,music/Country/Terry-Big_Tulsa_Tilleymp3, D, major, 123.420043945,0.2604962701134988,0.340066177845868,0.708680229605179,0.1749502982107356,0.9110388469101383,0.015653733119421247,0.1511550210200106,0.024121283023703467,0.3232702324810694
79,music/Religious/Set_Free-Dance_On_the_Circumstancemp3, D, major, 139.68309021,0.2313716248724756,0.29357566319700573,0.6945857228984286,0.16832339297548046,0.9634232743022276,0.04400244509540342,0.1686678056854946,0.031978510938838814,0.3244910549956694
80,music/Comedy&SpokenWord/JapeTVcom-Which_Backstreet_Boy_Is_Gaymp3, A, major, 99.0361633301,0.23725480186904366,0.21375225804166054,0.7243364355905616,0.1815772034459907,0.9725460299532445,0.061258660357880954,0.17587883851873157,0.029344529112990406,0.324493594611263
81,music/Childrens's/Ninos_De_La_Paz-Gloriosa_Luzmp3, G, major, 91.942527771,0.35895717012529094,0.38664296867517917,0.2667704971478347,0.18687872763419483,0.9383219943409064,0.06884287850721592,0.3307837627284169,0.059467111097300115,0.32458313878204237
82,music/Electronic&Dance/Mouse_on_Mars-Mine_Is_In_Yoursmp3, C, major, 94.0469970703,0.3054188548599596,0.3811800615033957,0.539426854088514,0.21736249171636846,0.9392191615935028,0.029142935644549988,0.15060139869956315,0.035639708821065416,0.3247489333658649
83,music/Folk/Virginia_La_Iacona-Con_Locuramp3, D, minor, 106.981773376,0.2556804245241542,0.22087700431688628,0.5887786309378897,0.20808482438701126,0.9431591213786387,0.024808169682984733,0.15527820742129855,0.20132842529115508,0.32474935099250224
84,music/Folk/Adrian_Madrid-Senora_bonitamp3, C, major, 95.661781311,0.246851528543531,0.20014784787651765,0.5235550272407575,0.19350563286944997,0.9414595045931448,0.053669922810761085,0.27493816309785335,0.16468916910781173,0.3248520995174784
85,music/Blues/Mark_S_Moody-Organized_Slime_Bluesmp3, G#, minor, 90.6922302246,0.2518959045388971,0.18317891060391675,0.4149561158777968,0.24652087475149106,0.9780061733549654,0.06715874679818465,0.292719405686506,0.16480111105781067,0.32490465533369606
86,music/Religious/Set_Free-Wherever_I_Ammp3, G, major, 151.271682739,0.23434411680911946,0.26417721420180235,0.7132285985688941,0.1709741550695825,0.9498838033629299,0.04128711199116341,0.17612654799486027,0.05255612436098009,0.3253222090449165
87,music/Folk/Victoria_Robertson-Come_Out_Rightmp3, A, major, 99.8897857666,0.24936152177369955,0.21081128731116436,0.6579227785541669,0.17760106030483763,0.9492272118293373,0.020969763431037167,0.1751513897385777,0.166895210673491,0.325992527952039
88,music/Country/Rustie_Jean_Blue-The_Devil_May_Caremp3, G, major, 150.073913574,0.24491482822640226,0.2397055329038363,0.7649104568151454,0.21206096752816433,0.8928092490455468,0.025405397946325802,0.19183362379746277,0.036359993484243056,0.32600000621839087
89,music/Latin/Maria_Isabel-Mr_Recordarasmp3, G, major, 93.0823287964,0.3728045716077674,0.5052536151933742,0.14846123630422117,0.1749502982107356,0.930960271661364,0.09841373928368452,0.29685953071995586,0.08079772172456993,0.3260626230882091
90,music/EasyListening&Vocals/ayu-mi_yuemp3, B, major, 98.0427703857,0.24912616507466714,0.21023754508202505,0.5834257706040271,0.1862160371106693,0.9258136032774147,0.09003051770269022,0.22482801929173116,0.1402771939760853,0.32624435651491374
91,music/Hip-Hop/Dilated_Peoples-Global_Dynamicsmp3, F, minor, 92.0221252441,0.47352425726692443,0.48665477488934583,0.18879483095541666,0.18356527501656728,0.9765569075597331,0.022312902063612968,0.16345249729883374,0.11647489498857855,0.3264170425048766
92,music/Jazz/Bernadette_Seacrest_and_the_Yes_Men-Tangomp3, A#, minor, 117.51272583,0.2699456182788782,0.21484909886987585,0.6832007033958113,0.20874751491053678,0.9436819542978991,0.035556028196455265,0.2265597497842629,0.03075262815117086,0.3266616619856113
93,music/Country/Dave_Jorgenson-Living_A_Liemp3, D, major, 104.058448792,0.27331593268821547,0.30155311385333516,0.7158177043558621,0.21537442014579192,0.9552302602264279,0.01188014329528531,0.11391481608518278,0.02646189759726659,0.3266935360309209
