,id,scaled_rp,key,scale,scaled_levenshtein,scaled_js,bpm,scaled_bh,scaled_rh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
19,music/Metal&Rock/AlternativeMetal/Lindemann-SkillsInPills/07-Lindemann-Cowboymp3,0.2765193078279811, C, minor,0.07016378928729526,0.033715144598495145, 140.011123657,0.055550847236883916,0.19328928506936915,0.1525117692392199,0.6377602703020613,1.4291907922295723e-12,0.17743880169534187
20,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-Spring/PigSquealsAndBreakdowns-Spring-16OurSoulsEvolve-Manipulatorsmp3,0.31450222348358303, A, minor,0.06529437804338203,0.045031366072428546, 139.957580566,0.02769476751482706,0.27542409602221013,0.1322666738502382,0.5640972918052587,2.2638735518926774e-12,0.17803884959927396
21,music/Metal&Rock/SymphonicMetal/Delain-ADecadeOfDelain/09Don’tLetGowav,0.24305125244664474, A, minor,0.0903054448871182,0.047398073005157075, 140.029953003,0.030659717732941006,0.1452979346126035,0.02850462667372391,0.8822783592158383,1.758747739222214e-12,0.1834369260719732
22,music/Metal&Rock/AlternativeMetal/SystemOfADown-Mezmerize/03-Revengamp3,0.23492934298659793, C#, minor,0.08012394864984507,0.04983847614061918, 140.165176392,0.23442920733067457,0.23948881072537143,0.07042275907346365,0.574756783822631,1.2374528345799801e-12,0.18549866609130503
23,music/Metal&Rock/AlternativeMetal/Kvelertak-Kvelertak/07-SultansofSatanmp3,0.2913672017087696, A, minor,0.08897742363877822,0.04165325853764304, 138.709014893,0.29202642089006403,0.22114179035648213,0.08536284267309167,0.4645593003546089,1.6644882362158674e-12,0.18563602977013777
24,music/Electronic&Dance/TranceSx-Strikermp3,0.31290180213991703, F, minor,0.083444001770695,0.04756562790756985, 139.857696533,0.03714060393244459,0.24702492216680566,0.045656337312445436,0.7283039403766982,2.702658851941539e-12,0.18775465445115982
25,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-Summer/PigSquealsAndBreakdowns-Summer-26Step4-Fademp3,0.2868239356786432, D#, minor,0.14962372731297033,0.05389808867699103, 139.933425903,0.19938939460888436,0.20457879009507346,0.033350130195340756,0.5789419443192716,2.282093052808136e-12,0.1883257513611821
26,music/Metal&Rock/Compilations/RelapseSampler-RelapseSampler2016/Sumerlands-RelapseSampler2016-08SeventhSealmp3,0.2662277307043848, A#, minor,0.083444001770695,0.033932652528765796, 139.88394165,0.01363900217664033,0.19249246150828903,0.009654005524758019,0.910093553441906,1.4512629597976738e-12,0.1886854259571113
27,music/Rock&Pop/SWiLL-Buzzwreckermp3,0.2534956676194745, G#, minor,0.09296148738379814,0.048437657443209624, 139.974731445,0.04252963576794059,0.16980174071215592,0.02281743465587998,0.8828638067385604,1.6326520852222846e-12,0.1891134287903315
28,music/Metal&Rock/AlternativeMetal/Volbeat-TheStrengthTheSoundTheSongs/13_Volbeat_Ionlywannabewithyoump3,0.2542724477323618, D, major,0.06927844178840195,0.05351839340091272, 138.401229858,0.2986254629978248,0.19117573526687648,0.04924268243834078,0.6081172809461024,2.2527002681437007e-12,0.1905288055716342
29,music/Songs/Metal/Core/CrownTheEmpire-MemoriesOfABrokenHeartmp3,0.258517432377752, C, minor,0.09274015050907482,0.031900646687131856, 140.015197754,0.05813014945221692,0.19938494483085772,0.023298316931304578,0.8634924681121284,1.049383718036442e-12,0.19093301361268947
30,music/Metal&Rock/Cover&Stuff/VladimirZelentsov/OriginalSongs/SilenceofTheNorthmp3,0.21327537972588195, D#, major,0.08410801239486498,0.07477609694162891, 139.968856812,0.03412742403425793,0.18591257072477038,0.048256310520681356,0.8889936631876778,2.411619449821517e-12,0.1911811821915219
31,music/Modern&Soundtrack/HipHop/Mixtapemonkey/Bitches/MarshaAmbrosius-LateNightsEarlierMornings/MarshaAmbrosius-LateNightsEarlierMornings/04-LetMeGoInParisftDJAktivemp3,0.2552192015200683, F, major,0.06573705179282868,0.07215791009380577, 139.937011719,0.03828310626844947,0.15066495662922227,0.022707864668581067,0.9329482947484757,2.8689858619518877e-12,0.1922147982155375
32,music/Electronic&Dance/Saint_Etienne-Lose_That_Girlmp3,0.3150176748321903, C, major,0.0719344842850819,0.040895607411118584, 140.181762695,0.0563317335311064,0.2127137741113207,0.058704243174773664,0.7904684702380164,7.084634186714204e-13,0.19325824844803957
33,music/Latin/Carlos_Morelia_-_LIVE-In_The_Party_round_the_world_2005mp3,0.2546430632431949, F, major,0.10845506861443116,0.052087405439966254, 139.960494995,0.06686995710654597,0.2028887015762501,0.037839487199018446,0.8293949726601927,1.344546555084752e-12,0.19402233198011798
34,music/Latin/Phil_Rose-Cafe_Arecibomp3,0.2616081084942343, E, minor,0.07104913678618859,0.08134384101754585, 139.926345825,0.08329361651442971,0.1362669491382712,0.0661177152888935,0.85322343444004,3.92529558606466e-12,0.19411285021044103
35,music/Metal&Rock/Oldschool&Others/Halestorm-IntoTheWildLife/10TheReckoningmp3,0.21824469019752557, C, minor,0.06463036741921203,0.058251807683810816, 139.943984985,0.03239555406057558,0.23927317773689544,0.09206427083277721,0.8571674862735056,2.038542585428013e-12,0.19525341927579262
36,music/Metal&Rock/PowerMetal/Pentakill-SmiteandIgnite/Pentakill-SmiteandIgnite-04LastWhisper-320kbpsmp3,0.2479357227182616, F#, minor,0.08322266489597167,0.02602444384445637, 139.964736938,0.09526270523809727,0.19266497437599372,0.01895004929180788,0.8985130904145051,1.4265517122932178e-12,0.19532170634756502
37,music/Childrens's/Dwayne_Arvinger-Diaper_Changemp3,0.25476860579103705, D, major,0.06440903054448871,0.0532305897712756, 139.936096191,0.06449934430841232,0.15610387250097607,0.12158248979630815,0.8513013722917573,1.67313464226422e-12,0.19573691312574104
38,music/Electronic&Dance/John_Schmidt-Goblins_Waterfallmp3,0.2508199752962096, A, minor,0.13523683045595397,0.0785576247265252, 139.994689941,0.05164043663518684,0.15686644932700874,0.038160785813042816,0.8618668638111016,2.2517282013354507e-12,0.19664362075841005
39,music/EasyListening&Vocals/EX-PLOSION-Love_Me_Againmp3,0.29886839512758334, C, major,0.08831341301460824,0.12630580808708777, 140.023010254,0.03610724736930094,0.20090141940491577,0.02766191835347127,0.7964355855869761,7.096225490042301e-12,0.19682422336887997
40,music/Songs/Metal/Black(ened)/Eisregen-ElektroHexemp3,0.2290686867097345, G, minor,0.0697211155378486,0.04032243742255721, 140.013305664,0.10918199100075728,0.19576657891730187,0.05686358769918902,0.8754549653573825,8.403260995700826e-13,0.1970474203307014
41,music/Metal&Rock/PowerMetal/Gloryhammer-Space1992/03-Gloryhammer-LegendoftheAstralHammermp3,0.3090092499698974, G, major,0.1217352810978309,0.023399225725157173, 140.015228271,0.038052436146437316,0.19345462474387004,0.011067859945996888,0.8806231391335736,8.608142841947428e-13,0.19716772709545302
42,music/Rock&Pop/SEXYDEATH-HALLOWEEN_ROBOT_GIRLmp3,0.2729713744556506, A#, major,0.08255865427180169,0.05768154331663964, 139.955932617,0.06591900894667373,0.18404980741514518,0.034604664135573095,0.8860098839005421,1.7540301870027773e-12,0.19797436705547247
43,music/Electronic&Dance/mwillstedt-Togethermp3,0.31535070927664116, F, major,0.07746790615316512,0.02464184399118874, 139.974273682,0.020358609604685933,0.21184869996479144,0.08994319664771341,0.8471089884286371,2.4566446046184116e-12,0.19833999425865995
44,music/Metal&Rock/AlternativeMetal/AlterBridge-Fortress/01CryOfAchillesmp3,0.28754312919650005, G#, minor,0.14121292607348385,0.036043454792856054, 139.824859619,0.25936040588943177,0.2322846578254065,0.024786465767787817,0.6056726720916027,1.1736353813566667e-12,0.1983629639547803
45,music/Modern&Soundtrack/HipHop/Mixtapemonkey/Bitches/KekePalmer-KekePalmer/KekePalmer-KekePalmer/06-Dip2Nitemp3,0.2278956085958331, A#, major,0.0703851261620186,0.08928949686860638, 139.994796753,0.08564838757647959,0.15910442083735227,0.05653459810812398,0.9007223899237058,6.263039516142686e-12,0.19869750350979784
46,music/Metal&Rock/Metalcore/Trivium/Trivium-SilenceInTheSnow/05_Trivium_TheGhostThatsHauntingYoump3,0.2843690164092259, F#, minor,0.09517485613103142,0.030927630326952067, 140.43637085,0.08174077710227415,0.19588840985559827,0.048087705881322336,0.8554119591793037,1.618681860051922e-12,0.19895004436091582
47,music/Modern&Soundtrack/Soundtrack/TheWitcher3-Soundtrack/TheWitcher3OST/26DrinkUpThere_sMore!mp3,0.26672818314355523, G, major,0.057104913678618856,0.07341303186462517, 139.938034058,0.024131904238244555,0.2137039014657797,0.02620408930823635,0.9320548721697706,2.007521306266402e-12,0.19916761198385474
48,music/Electronic&Dance/Trance_Wave-Dreams_of_the_Futuremp3,0.29758550656219046, A, minor,0.10690571049136786,0.04688727412611363, 139.913070679,0.07587419625093121,0.14713122791854724,0.04265833665629911,0.87898385733073,1.886029856556259e-12,0.19950326366725823
49,music/Modern&Soundtrack/Electronic/Pertubator-TheUncannyValley/09DiabolusExMachinamp3,0.2877752561734129, E, minor,0.08255865427180169,0.036353295545775426, 139.873931885,0.06177722967107441,0.16333284821173427,0.06464010306745772,0.9002808469693757,1.2172636180562195e-12,0.19958977923898116
50,music/Religious/Superchick-Heromp3,0.22242982584255117, C#, major,0.07481186365648516,0.05842371284446718, 140.039764404,0.024839667541395712,0.15592828309442552,0.20039887996439995,0.8602553147436431,1.6354622081407794e-12,0.1996359434611254
51,music/Metal&Rock/MelodicDeathMetal/AmonAmarth/AmonAmarth-Jomsviking/06-TheWayOfVikingsmp3,0.27638653815198855, B, minor,0.10712704736609119,0.04899386495383522, 139.982818604,0.031586832249512316,0.18615903387094393,0.048910873057343325,0.899151922093021,1.8863991893334245e-12,0.19978951396807776
52,music/Metal&Rock/TechnicalDeathMetal/Cytotoxin/Cytotoxin-Gammageddon/03Gammageddonmp3,0.27351359760071076, A, major,0.08875608676405489,0.0499691219654055, 140.030029297,0.06080243602803869,0.18082420216603878,0.0198311901739269,0.9343001471897909,1.6595243275333447e-12,0.20099959773620327
53,music/Songs/RockPop/Folky&Instrumental/MetroLastLight-VesselofSinmp3,0.27973682528055294, A, minor,0.06750774679061532,0.06925580854003495, 139.996383667,0.06209949888965769,0.19534336051827828,0.06616526634645382,0.868410727993052,3.5876695589321373e-12,0.2010649042952791
54,music/Modern&Soundtrack/Electronic/Pertubator-TheUncannyValley/01NeoTokyomp3,0.36125765771835083, F, minor,0.06949977866312528,0.02000284922839778, 139.990951538,0.02129452409909302,0.2263044492321866,0.049461827112588494,0.8617218463507224,1.406919239069424e-12,0.20119286655073387
55,music/Metal&Rock/Compilations/RelapseRecords-RelapseSampler2017/29TheDrip-BlackestEvocationmp3,0.2558128105936878, B, major,0.07149181053563523,0.04994502868770607, 139.983596802,0.10228373188678629,0.1565008755505709,0.0304128184680149,0.9447439291449753,2.8210644775078378e-12,0.20139887560877467
56,music/Alternative&Punk/Robert_Allen-High_On_The_Hogmp3,0.24842314537856366, A, major,0.06795042054006198,0.05117173046150372, 140.470687866,0.2098565671691978,0.18840047053556647,0.019978754480740196,0.8284812377881515,1.321482497633271e-12,0.20178279079438835
57,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-June/PigSquealsAndBreakdowns-June-01FightForAshes-BuryTheHatchetmp3,0.3280075892805895, B, minor,0.0765825586542718,0.044867771271568276, 140.013366699,0.06352356203685418,0.30060546932179094,0.14913967645203954,0.6556304484102426,1.877368720247987e-12,0.2022946344286543
58,music/Metal&Rock/FolkMetal/Eluveitie-EverythingRemainsAsItNeverWas/11-Eluveitie-SempiternalEmbersmp3,0.29598366074109195, E, minor,0.1111111111111111,0.02296222003165274, 139.982879639,0.046570918290267015,0.20562554195660618,0.019726395030913543,0.9175137502417806,1.2380951711761318e-12,0.20243669967558264
59,music/Metal&Rock/FolkMetal/InExtremo-QuidProQuo/10_InExtremo_SchwarzerRabemp3,0.2421133387982991, D, minor,0.06927844178840195,0.04221151305118159, 140.049484253,0.0869916732614701,0.1979179377629793,0.12320084243292077,0.8588080532438362,1.5930399932010752e-12,0.20256522504258526
60,music/Metal&Rock/Cover&Stuff/VladimirZelentsov/Covers/Contramp3,0.24293853019569556, C, minor,0.0728198317839752,0.045559561060392335, 139.955184937,0.06873325547439725,0.15709667158653806,0.12604980779183905,0.9086255836584961,2.2461716044681922e-12,0.20272790519419748
61,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-August/PigSquealsAndBreakdowns-August-02Cutliesthroat-Sinmp3,0.29340007764239934, B, minor,0.10203629924745462,0.061876295737867924, 139.912872314,0.20063572957943387,0.20551885082789337,0.08067423696296443,0.6830888171308045,2.646322113908494e-12,0.20340378839143305
62,music/Metal&Rock/PowerMetal/Sabaton-CoatofArms/10-SABATON-MetalRippermp3,0.23482885448301064, B, minor,0.09008410801239486,0.038495666140058324, 139.988708496,0.03338527481031356,0.15346284201720425,0.17186177870995437,0.9054102259760223,9.802292858544437e-13,0.2034410937687423
63,music/Jazz&Klassik/100MeisterwerkederKlassik/Ravel_BoléroM81(Excerpt)mp3,0.30644615420839655, C, major,0.10203629924745462,0.07389237926880218, 140.681213379,0.3112896641315153,0.26858647224495624,0.03325153154070389,0.5327290241427074,4.8795797470799886e-12,0.20352894059867696
64,music/Modern&Soundtrack/Pop/SarahBrightman-AWinterSymphony/09RoyWoodIWishItCouldBeChristmasEverydaymp3,0.2823354910814725, C, major,0.10048694112439133,0.04531325416654351, 139.937255859,0.0333483018795545,0.21611914638288413,0.09197791946574681,0.8593398494298704,1.8131952183012863e-12,0.20361511294153456
65,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-October/PigSquealsAndBreakdowns-October-14ADeadFrog'sSociety-EndOfAllDaysmp3,0.28721275517313644, D, minor,0.07813191677733511,0.030365947309386826, 139.407485962,0.36353140002585826,0.27477170786378874,0.07181721099014254,0.5262936701202974,1.2102969275161237e-12,0.20401557603264445
66,music/Country/Alejandro_Escovedo-Castanetsmp3,0.22054746270822823, D, major,0.06219566179725542,0.0529024230226454, 141.159484863,0.3052416965859993,0.17226157925021574,0.0907345706922464,0.7282884813476025,1.5388853009775831e-12,0.2040214844257165
67,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-January/PigSquealsAndBreakdowns-January-21TraceYourSteps-Forgivenessmp3,0.32313013665514767, A#, major,0.07724656927844178,0.04516811708115561, 138.003143311,0.39969978844533605,0.24993644518436822,0.0363096148708352,0.503560867917308,2.8147152760038427e-12,0.2043814424294259
68,music/Metal&Rock/FolkMetal/Eluveitie-Origins/Eluveitie-Virunusmp3,0.2905270532983314, G, minor,0.10779105799026117,0.04093304617144829, 140.002609253,0.045541326803412344,0.22685799953210703,0.021379379387546138,0.9052526660497915,1.2668465010902057e-12,0.20478531615427056
69,music/Electronic&Dance/DJ_FU-Nothing_Worldmp3,0.2861154257415306, C, major,0.1615759185480301,0.034874691872030794, 139.938919067,0.07826685487312167,0.2556727975932787,0.026957375040257203,0.7968270313535414,2.442423880921658e-12,0.20503626187802912
70,music/Modern&Soundtrack/Orchestral&Instrumental/TwoStepsFromHell-ClassicsI/13-TwoStepsFromHell-EarthRisingmp3,0.3284461397960366, G, minor,0.07702523240371846,0.05496671930384717, 139.985076904,0.03623108049164792,0.2907682201698146,0.025114036064586873,0.8280508004839313,2.921033809160341e-12,0.20507527858956298
71,music/Modern&Soundtrack/Pop/TheDome50/CD2/SunriseAvenue-TheWholeStorymp3,0.28826950794611217, A, minor,0.0787959274015051,0.030924967228088733, 139.970367432,0.08789782530140738,0.203445409376565,0.10687576261218722,0.8452143201324035,1.552433683981533e-12,0.2051779649999777
72,music/Metal&Rock/MelodicDeathMetal/InFlames/InFlames-Clayman/05-SquareNothingmp3,0.2454165343787992, C, minor,0.08366533864541832,0.036501383878089426, 140.074752808,0.08543752554450344,0.1642352132475374,0.11766060376740478,0.9100493346066729,1.0336744550909757e-12,0.2053707417586824
73,music/Soundtracks&More/SAHAROFF-SAHAROFF_Project_Age_of_Egiptmp3,0.253071445671143, D, minor,0.11066843736166446,0.06889988362082597, 139.961242676,0.05434329373609704,0.2038951345865922,0.09723960988243882,0.8558958826892719,1.8343136685734167e-12,0.20550171094373346
74,music/Metal&Rock/Metalcore/Caliban-Gravity/12-Hurricanemp3,0.27477442771409666, C, major,0.08764940239043825,0.046493902932628305, 139.805709839,0.08374124027769687,0.18676724940846254,0.04221134355621229,0.9228009111684031,2.1447278260683856e-12,0.20555480968126036
75,music/Religious/Scott_Campbell-Slip_Awaymp3,0.29396955439245576, D, minor,0.07525453740593183,0.05291877702327489, 140.006973267,0.0395780823542951,0.24697140658319724,0.016581603160360402,0.9194185727149822,2.5637405441944442e-12,0.20558656670463263
76,music/Modern&Soundtrack/HipHop/Mixtapemonkey/Bitches/Tinashe-BlackWater/TINASHE-BlackWater/071forMemp3,0.3262124544408126, E, minor,0.08123063302346172,0.059464398502349594, 140.012359619,0.06067551270156774,0.21975122718276868,0.03876364045181908,0.8589090240475551,5.127639479683884e-12,0.20562586129443275
77,music/Metal&Rock/Cover&Stuff/VladimirZelentsov/Covers/Vivaldi-Summermp3,0.2953880196923112, D#, major,0.06772908366533864,0.0595172407855995, 139.996002197,0.02597592434990867,0.24810151645514328,0.01780851255855482,0.9307398428340071,3.739006290385131e-12,0.20565751754307526
78,music/Electronic&Dance/mwillstedt-Distancemp3,0.378916401692916, C#, major,0.07082779991146525,0.03736214908937431, 139.90927124,0.0650070612940212,0.2765038316186325,0.028371170715872477,0.7883637943322708,2.598126273616053e-12,0.20566902608214385
79,music/Metal&Rock/MelodicDeathMetal/AmonAmarth/AmonAmarth-FateOfNorns/06TheBeheadingofaKingmp3,0.2647843579976573, F#, major,0.07791057990261177,0.05020002551422147, 139.636413574,0.06079040080776278,0.20371935087232507,0.0488296631072897,0.9392390610228626,1.315245734920831e-12,0.20568417990325577
80,music/Electronic&Dance/DFB-Vauxhall_1979mp3,0.3365610525581059, C#, minor,0.0619743249225321,0.05240600885648099, 139.948577881,0.03343941554176132,0.2233041113958367,0.08116843334651992,0.8595171035152125,1.937747120565361e-12,0.2060463062672984
81,music/R&B&Soul/Kisha_Griffin-Heavymp3,0.3404398627105409, D#, minor,0.0934041611332448,0.062336786465402645, 139.976165771,0.02291883928144348,0.263619254547513,0.09058950189952329,0.7758891922902106,2.2837086715060394e-12,0.20614969979127032
82,music/Metal&Rock/SymphonicMetal/Delain-ADecadeOfDelain/03StayForeverwav,0.29603431348273757, A, minor,0.10225763612217796,0.04458839646024662, 139.922286987,0.04030524823219012,0.21561703905092858,0.06081265180339101,0.8964596340444161,3.2408348220459026e-12,0.20700936489991612
83,music/Metal&Rock/Deathcore/FaithInRuin/FaithInRuin-Anathema/04ThePolygon(Instrumental)mp3,0.2873823098840048, C, minor,0.06042496679946879,0.04566062292744666, 139.894592285,0.0992796390831021,0.14269105371002086,0.06557077943430202,0.9556866023224974,1.4054922423406646e-12,0.207086996770281
84,music/Metal&Rock/AlternativeMetal/DiabloBlvd-ZeroHour/04-GodInTheMachinemp3,0.28311591618073134, C, minor,0.0635236830455954,0.049067240708381456, 142.051345825,0.46162416392810646,0.22277680882996442,0.12117835750319407,0.4558687485399261,1.5354187766896847e-12,0.20714436484217932
85,music/Metal&Rock/MelodicDeathMetal/BloodredHourglass/BloodredHourglass-Heal/06-SixFeetSaviormp3,0.29480042275138485, C, minor,0.09296148738379814,0.04762320197894633, 139.936508179,0.047508608764055694,0.1885481282078585,0.09721985255431236,0.8891097715156387,2.424019937813251e-12,0.20722143414480237
86,music/Metal&Rock/AlternativeMetal/FiveFingerDeathPunch-TheWrongSideOfHeaven/07_FiveFingerDeathPunch_AnywhereButHeremp3,0.2866814879353884, B, minor,0.0719344842850819,0.03552223964312533, 138.007553101,0.3721933724238235,0.2566678959868202,0.05119353060483441,0.583685396635343,5.862028119444214e-13,0.20723480093937538
