,id,scaled_mfcc,scaled_rp,scaled_bh,bpm,scaled_rh,scaled_levenshtein,key,scale,scaled_corr,scaled_skl,scaled_js,aggregated
0,music/Electronic/TheXX-Intromp3,0.0,0.0,0.0, 100.450759888,0.0,0.0, F, major,0.5611918787529583,0.0,0.0,0.07014898484411979
1,music/Rock/Sum41-Piecesmp3,0.1567743130088862,0.2979792230090519,0.2207269044307167, 99.7237548828,0.2478099695164486,0.09612930667800935, F, major,0.9865036061460228,0.13697898378778386,0.10987361534720348,0.2815969902405154
2,music/WorldMusic/JohnButler-Oceanmp3,0.34757780648793757,0.2607048338382213,0.515844526151751, 97.3883056641,0.22355616318500116,0.3683538919608677, E, major,0.7188624152271342,0.14746671215203466,0.11192485607474884,0.3367864006347121
3,music/Electronic/DaftPunk-Withinmp3,0.16524088885314084,0.30504856287434157,0.696969661700936, 110.342224121,0.29347426899922296,0.13398553806890684, C#, major,0.8759106723937901,0.1184956369265484,0.12128515205704737,0.3388012977342417
4,music/HipHop/KidCudi-MrRagermp3,0.40523140444627653,0.312678663019641,0.4897137801992167, 102.060325623,0.2732710016119363,0.16376010208421948, B, minor,0.8836160436716951,0.10231946337090332,0.12462249000022328,0.34440161855051393
5,music/Jazz/EricBibbCelticRootsEnsemble-StJamesInfirmarymp3,0.21555531537328515,0.31717908154516766,0.7199448259533501, 104.842964172,0.28399362922795746,0.22671203743088048, A, minor,0.8375143158078189,0.05949461443863526,0.10663615164124392,0.3458787464272924
6,music/Jazz/LouTavano-TheCallmp3,0.28153496579078335,0.27377390916379124,0.6558344814070801, 184.570266724,0.3236621099372529,0.20119098256061252, E, minor,0.8716609196547637,0.05736028962368953,0.10648025922694328,0.34643723967061457
7,music/Soundtrack/TheHobbit3-HowardShore_Ironfoot[ExtendedVersion]mp3,0.20647014171312517,0.3295438927235972,0.6473959869571285, 138.597213745,0.322923376925086,0.2807316035729477, D, major,0.7814495911233881,0.10392364019168687,0.1028589156332294,0.34691214360502365
8,music/Rock/Pvris-MyHousemp3,0.21329802653958232,0.3215525651892051,0.7478041392284523, 129.15222168,0.32389046887373807,0.15057422373458104, C, major,0.8505262402400053,0.1047625121887337,0.07334275486320228,0.3482188663571876
9,music/Jazz/JukkaPerkoAvara-TearsInHeavenmp3,0.23831924915670888,0.29102875680244994,0.4949960278809834, 98.4524993896,0.4205230979283507,0.09910676307954062, A, major,0.8482987747881121,0.2735835528599149,0.12240007099368803,0.34853203668621857
10,music/Soundtrack/LordOfTheRings-TheBattleOfThePelennorFieldsmp3,0.1752924833562065,0.3468549339007933,0.6598357525738411, 165.502151489,0.3431600872962752,0.19523606975754998, A, minor,0.9054658990874787,0.06695060203897335,0.11120667146212632,0.3505003124341555
11,music/Klassik/Bach-Toccaqta&FugueDMinorBWV565Toccatamp3,0.15620962214860357,0.33733669795768567,0.6283385169846745, 117.647331238,0.3642417373715491,0.09783071033602722, D, minor,0.8649801413981472,0.1628796799257367,0.20140688119402,0.35165299841455544
12,music/Pop/DavidBowie-LifeOnMarsmp3,0.24719206259038254,0.34888135609791315,0.7007863210573961, 125.222671509,0.40244084122373075,0.13951509995746492, A#, major,0.8794014650753934,0.10682363772549805,0.11155404842639455,0.3670743540192717
13,music/Soundtrack/TheWitcher3-TheFieldsofArdSkelligmp3,0.3987849234796043,0.3467341565714148,0.6532286338847967, 178.205566406,0.3407738799587759,0.16801361122926414, D, minor,0.8130163004690112,0.10751805077418929,0.13313260222193346,0.3701502698236237
14,music/WorldMusic/EstasTonne-TheSongoftheButterflymp3,0.2258364291710863,0.3816218127382174,0.661891200850223, 172.265289307,0.40464606071911263,1.0, C, minor,0.0,0.11981579596049434,0.16780638101298034,0.37020221005651427
15,music/Soundtrack/Outlander-DanceoftheDruids(featRayaYarbrough)mp3,0.15996460942173604,0.37059638665441297,0.6860846589525422, 136.45451355,0.38441383139739066,0.2139515099957465, A, minor,0.8373833368570567,0.1712410899836329,0.1537703144391641,0.37217571721271026
16,music/Jazz/WhiplashSoundtrack-TooHipToRetiremp3,0.20241160314962742,0.2815183000568563,0.873251882447446, 154.925735474,0.2961231705873069,0.15695448745214802, C, minor,0.9339911232465163,0.14593548860896036,0.10439155335399698,0.37432220111285736
17,music/Rock/Radiohead-Creepmp3,0.2882544837282097,0.29128930116389956,0.7106281645462634, 92.4155807495,0.27624521575225064,0.11101658868566568, C, major,0.9823523054916456,0.19857926634957662,0.14023411557931573,0.3748249301621034
18,music/WorldMusic/ANNARF-TumHiHo-(annaRFFtNaadistan)mp3,0.18430283744631507,0.3202600197944149,0.9209405326064583, 93.9716186523,0.34327779728834046,0.12165036154827732, A#, major,0.8961079880808206,0.10986799641426742,0.1073719738385667,0.3754724383771826
