,id,scaled_js,scaled_rp,scaled_corr,aggregated
0,music/Hip Hop/Kid Cudi - Mr Rager.mp3,0.0,0.0,0.0,0.0
1,music/World Music/Estas Tonne - The Song of the Butterfly.mp3,0.12175591596737939,0.48390821986327603,0.000826651864138439,0.2021635958982646
2,music/World Music/John Butler - Ocean.mp3,0.08658896048170342,0.33579623888612653,0.37096563645002323,0.26445027860595105
3,music/World Music/Andrey Vinogradov - Medieval Tune.mp3,0.22088484035900474,0.4165521862151076,0.15754329299926495,0.26499343985779245
4,music/Soundtrack/Interstellar - No Time for Caution.mp3,0.051791993389354564,0.4809109177086705,0.4166444934812118,0.31644913485974563
5,music/Rock/Radiohead - Creep.mp3,0.11089655071743297,0.3678127364925118,0.5720706002606586,0.35025996249020114
6,music/World Music/anna RF - Why.mp3,0.07416001388751975,0.3793364453476813,0.6228465016065209,0.35878098694724064
7,music/Klassik/Liszt - Totentanz.mp3,0.19398143066130819,0.47001729164650513,0.42858217164788603,0.36419363131856647
8,music/Electronic/The XX - Intro.mp3,0.12128777810682971,0.3083158321922367,0.6999109104317397,0.37650484024360203
9,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.07829730998401757,0.4469247769809568,0.6123193492982544,0.3791804787544096
10,music/Reggae/Bob Marley - No Woman No Cry.mp3,0.06675458172011464,0.396682782918738,0.6826390455297893,0.382025470056214
11,music/Metal/Amorphis - House Of Sleep.mp3,0.07343907861740456,0.3698047658721816,0.7036848391652821,0.3823095612182894
12,music/Soundtrack/Mass Effect 3 - Leaving Earth.mp3,0.15124816368807187,0.43743457928851187,0.5586251012536021,0.3824359480767286
13,music/Rock/Sum 41 - Pieces.mp3,0.09469162923368286,0.3453950307882892,0.7106971827011348,0.3835946142410356
14,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.07632185832244077,0.32134544564319845,0.7589928870227132,0.3855533969961174
15,music/Metal/Gojira - Global warming.mp3,0.08873810448094735,0.38096021382538237,0.6971075764199854,0.38893529824210504
16,music/Metal/System Of A Down-Toxicity.mp3,0.011871491338304764,0.4092639991516396,0.7557400390750345,0.3922918431883262
17,music/Rock/Rise Against - Prayer of the Refugee.mp3,0.08556130662202624,0.36274718507864573,0.7453405745433928,0.3978830220813549
18,music/Klassik/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.1326516613536813,0.4394194478464141,0.6364540482983574,0.4028417191661509
19,music/Electronic/Daft Punk - Within.mp3,0.024351415480330988,0.3856604011098393,0.8049231051505727,0.40497830724691436
