,id,scaled_skl,scaled_rp,scaled_levenshtein,scaled_corr,scaled_mfcc,scaled_bh,aggregated
0,music/Small Cover Song Library/Sia - Chandelier.mp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Small Cover Song Library/Pvris - Chandelier.mp3,2.2991007864220274e-07,0.2552868396258194,0.1408379606259465,0.7710982776189524,0.05688891771882996,0.10760622162824986,0.22195307452131283
2,music/New Pop/Sigrid - Strangers.mp3,1.6625221286344522e-07,0.3276378767874686,0.18021201413427562,0.710031674911294,0.13075537559844738,0.6116925884749381,0.32672161602643945
3,music/Old Pop/David Bowie - Life On Mars.mp3,3.956513671447212e-07,0.2957474311030847,0.17163048965169106,0.8109871247426277,0.08223163675999061,0.6174125328262691,0.3296682684558384
4,music/Rock/Billy Talent - Cure for the Enemy.mp3,4.6399884384689913e-07,0.3311815417504196,0.17869762746087833,0.835192618909703,0.10996938286658456,0.5381210647082145,0.3321937832824406
5,music/Other Metal/System Of A Down-Toxicity.mp3,3.4817011712022566e-07,0.26236434042270784,0.17718324078748107,0.8268011591128741,0.21941828678517636,0.5254324322015567,0.33519996791331885
6,music/Rock/Pvris - My House.mp3,2.2524452025214004e-07,0.30733506922622883,0.19030792529025745,0.7723656159083392,0.08048994189503089,0.6853400978003436,0.3393064792274534
7,music/Other Metal/Gojira - Global warming.mp3,8.604832330979374e-07,0.33518579316294833,0.32912670368500757,0.6076176365859567,0.08400294379267365,0.7060965208948637,0.3436717431007805
8,music/Klassik Solo/Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,5.171879018531552e-07,0.5268013450069533,0.1287228672387683,0.8126248576477647,0.11449072747548042,0.4897776126114044,0.34540298786137885
9,music/Klassik Solo/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,5.171879018531552e-07,0.5268013450069533,0.1287228672387683,0.8126248576477647,0.11449072747548042,0.4897776126114044,0.34540298786137885
10,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,1.3924497997887333e-06,0.4470440214259929,0.12014134275618374,0.695971971234437,0.09312137943949314,0.7298894392200058,0.34769492442098543
11,music/New Pop/Halsey - Heaven In Hiding.mp3,5.1740130397218014e-08,0.3162768114003819,0.16102978293791015,0.8588877972405897,0.10404649831936648,0.6718890410126677,0.35202166377517435
12,music/New Pop/Anna Burch - 2 Cool 2 Care.mp3,2.0267960728166142e-07,0.3514434490740508,0.1640585562847047,0.8672271571783907,0.07780796720432624,0.6729475819716616,0.35558081906545685
13,music/New Pop/Aurora - Running With The Wolves.mp3,2.1379308005794604e-07,0.3403928433885407,0.19535588086824837,0.7042851928435157,0.16954152928322186,0.7253877727647089,0.3558272388235526
14,music/Electronic/Alan Walker - Faded.mp3,1.8702500596039416e-07,0.3350975572477634,0.1287228672387683,0.7376278971699277,0.19845945007432522,0.7594181322212042,0.35988768182949915
15,music/Small Cover Song Library/Alan Walker - Faded.mp3,1.8702500596039416e-07,0.3350975572477634,0.1287228672387683,0.7376278971699277,0.19845945007432522,0.7594181322212042,0.35988768182949915
16,music/Klassik Solo/Lang Lang_La Campanella II etude for piano in G sharp minor (Grand Paganini Étude No 3) S 141 3 (LW A173 3).mp3,1.1876865637499386e-05,0.580044505089528,0.2640080767289248,0.6266823117242943,0.16712769761127927,0.5238806422189504,0.36029251837310233
17,music/Klassik Orchester/Tchaikovsky_ Piano Concerto No1 In B Flat Minor Op23 TH55 - 1 Allegro non troppo e mo.mp3,1.8831784898943067e-06,0.5396024406406078,0.15648662291771834,0.8870947079703041,0.09971127476466027,0.4921885710670768,0.3625142500898096
18,music/Small Cover Song Library/Serj Tankian - Empty Walls (Orchestra).mp3,4.007516529115381e-07,0.28794292669732213,0.21958606764260474,0.8484059999267961,0.2688079725283564,0.5646376949422351,0.3648968437481612
19,music/Melodic Death Metal/Orbit Culture - Sun Of All.mp3,7.729309930254698e-07,0.36879000153847236,0.21756688541140837,0.8465768666261531,0.05956143235595286,0.7095438279863773,0.36700663114155946
20,music/Jazz/Paolo Fresu Jan Lundgren - Kristallen den fina.mp3,8.003873040433991e-06,0.5051124542857517,0.15446744068652196,0.8619698451664535,0.203052570089757,0.47775746783621503,0.36706129698962325
21,music/Electronic/Dynatron - Pulse Power.mp3,5.337738796817991e-07,0.45962515573261953,0.3003533568904594,0.5524441708014645,0.18557914712028928,0.7049376813878929,0.36715667428443427
22,music/Klassik Orchester/Ludovico Einaudi - Divenire.mp3,1.2308481799180934e-06,0.5826512604915268,0.303886925795053,0.6617559204654481,0.12573342915414273,0.529903274326445,0.3673220068467993
23,music/Small Cover Song Library/Game of Thrones Theme Taylor Davis.mp3,1.1558366153042468e-06,0.5212402701678142,0.1872791519434629,0.7227571998829574,0.16278206799763315,0.6220954415654029,0.36935921456564763
24,music/Sountrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,1.0594117099480035e-06,0.5740250559833,0.2337203432609793,0.7137238537279429,0.12413477909938882,0.5768222062777333,0.3704045496268424
25,music/Jazz/Michael Wollny Vincent Peirani The Kiss.mp3,7.230630595283479e-07,0.5288979409608715,0.23826350328117113,0.7138734749318452,0.22245150996535246,0.5345348091815645,0.3730036602306441
26,music/Klassik Orchester/Orchestre Montreal - Saint-Saëns_ Danse Macabre Op40 R171.mp3,1.29939879684577e-06,0.6154871376671329,0.33871781928319034,0.6648100130743786,0.11174262591023315,0.519583396032371,0.3750570485610172
27,music/Other Metal/Behemoth - Chant For Ezkaton 2000 EV.mp3,1.2499605628590362e-06,0.41262593100202816,0.18626956082786472,0.897055535401417,0.10808181617540681,0.6478071147214075,0.37530686801478125
28,music/Klassik Solo/JS Bach_ Toccata And Fugue In D Minor BWV 565 - Toccata.mp3,3.3766205980546526e-06,0.5607478886226449,0.15497223624432105,0.9095329902420872,0.1479268028574114,0.48089246950258074,0.37567929401494055
29,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,2.967879821234465e-07,0.3572817254621199,0.25946491670873295,0.8380626859318847,0.07282673199060999,0.7279393224250648,0.375929279884399
30,music/Small Cover Song Library/Alan Walker - Faded (Piano Version).mp3,6.202224365313817e-06,0.49035684514622024,0.19586067642604746,0.7180549643531742,0.2172982007770092,0.6427065840948964,0.37738057883695214
31,music/Sountrack/The Witcher 3 - The Fields of Ard Skellig.mp3,7.262037253399813e-07,0.5519631611283338,0.17970721857647654,0.7959797986587223,0.17662504140423452,0.5626368613710985,0.37781880122376515
32,music/Sountrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,7.04634730696209e-07,0.5399490996920039,0.3190307925290257,0.7707373166411964,0.05514602934711022,0.5862066617232247,0.3785117674278819
33,music/Jazz/Lou Tavano - The Call.mp3,3.836076155049493e-07,0.4162188673022334,0.22463402322059567,0.8590955259371111,0.2537770913934457,0.5177437928251353,0.3785782807143561
34,music/Rock/twenty one pilots - Car Radio.mp3,2.5392768883683756e-07,0.3556712566101521,0.209994952044422,0.8036109478221967,0.11174039289758537,0.7992845649017328,0.38005039470062957
35,music/Small Cover Song Library/Rachmaninoff - Op 3_ No 2 by Idil Biret.mp3,8.897799544575919e-06,0.6627607233032309,0.17163048965169106,0.7964230392718332,0.19408969732404566,0.4563431006038642,0.38020932465903495
36,music/Klassik Solo/Yuja Wang - Saint-Saëns_ Danse macabre Op40.mp3,1.593334254603089e-05,0.562187265269841,0.35133770822816757,0.7219501934195688,0.16041965061690108,0.48590814361485646,0.3803031490819802
37,music/Small Cover Song Library/The Jackson 5 - I Want You Back.mp3,5.005671900560889e-07,0.35895423597752824,0.13023725391216556,0.9430656147143455,0.056550577802472676,0.7959361226684097,0.38079071760701866
38,music/Old Pop/The Jackson 5 - I Want You Back.mp3,5.005671900560889e-07,0.35895423597752824,0.13023725391216556,0.9430656147143455,0.056550577802472676,0.7959361226684097,0.38079071760701866
39,music/Old Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,4.097536896607502e-07,0.33089252513592354,0.1453811206461383,0.9118137056145661,0.16258792789802362,0.7380340516855921,0.38145162345565553
40,music/Hip Hop German/Yung Larry - Lauch.mp3,2.246853037156976e-07,0.4640379570293607,0.12973245835436648,0.7592856384001148,0.08510037600852971,0.8518984113701636,0.38167584430797313
41,music/Klassik Orchester/Mozart_ Requiem In D Minor K626 - 3 Sequentia_ Lacrimosa.mp3,2.0912716355297724e-06,0.6153887961001234,0.15042907622412924,0.8840898192066501,0.164368969985846,0.4805673803435037,0.38247435552198134
42,music/Hip Hop German/Prinz Pi - Kompass ohne Norden.mp3,2.2558451988640205e-07,0.418080092067013,0.13124684502776376,0.9701489201432617,0.179669374647338,0.6028683473135013,0.3836689674638996
43,music/Klassik Solo/Alice Sara Ott - Prélude in D Flat Major (_Raindrop_) Op28 No15.mp3,3.179033278944973e-05,0.6223522438066432,0.2973245835436648,0.5973238942017519,0.23796599783941177,0.5530037204847329,0.3846670383681657
44,music/Electronic/Kadebostany - Early Morning Dreams (Kled Mone Remix).mp3,3.4330004444262137e-07,0.5859896952517514,0.3069156991418476,0.5965975269790342,0.10666718616294242,0.7119352822872466,0.3846842888538111
45,music/Rock/Sum 41 - Pieces.mp3,3.2370761316545116e-07,0.343456741274197,0.12115093387178193,0.8968789900011077,0.11735366969118513,0.8292898402827762,0.38468841647144353
46,music/Klassik Orchester/J Strauss I_ Radetzky-Marsch Op228.mp3,1.4356238246715481e-06,0.49960799120758015,0.12317011610297829,0.8561607017381261,0.12699953632537375,0.7027673139995089,0.38478451583289863
47,music/Old Pop/Electric Light Orchestra - Mr Blue Sky.mp3,5.083368364396032e-07,0.378127020501904,0.31196365471983845,0.7934760568064908,0.135886904663428,0.6925534690125575,0.38533460234017586
48,music/Small Cover Song Library/Rachmaninov - Op3 No2 by Rachmaninov.mp3,6.408125334588229e-05,0.6158376177610099,0.1574962140333165,0.8373253559356082,0.2252064315692284,0.47669438685956406,0.3854373479020122
49,music/Klassik Solo/Rachmaninov - Prélude in C sharp minor Op3 No2.mp3,6.408125334588229e-05,0.6158376177610099,0.1574962140333165,0.8373253559356082,0.2252064315692284,0.47669438685956406,0.3854373479020122
50,music/Sountrack/Vikings - Floki Appears to Kill Athelstan.mp3,8.84542290297331e-07,0.5664814131421739,0.1287228672387683,0.7974319561707586,0.22588649942113273,0.5945168056220711,0.3855067376895325
51,music/Hip Hop English/Achozen - Deuces.mp3,5.269596024171e-07,0.6498114114428156,0.12771327612317013,0.9170976406843613,0.0930790621998083,0.5268898376065553,0.38576529250271885
52,music/Other Metal/Kvelertak - Åpenbaring.wav,1.3020764113998242e-06,0.43540628239716117,0.1691065118626956,0.8344057208996217,0.09779010288314273,0.783367024047697,0.3866794906944549
53,music/Hip Hop English/Kid Cudi - Mr Rager.mp3,3.340758376851671e-07,0.4900209956228953,0.19131751640585562,0.6922869777223446,0.17630125457030588,0.7728238485693837,0.38712515449443713
54,music/Rock/Rise Against - Prayer of the Refugee.mp3,7.564647256996604e-07,0.36826257198391543,0.1453811206461383,0.8747221972874825,0.29695158793379406,0.6376541418133057,0.3871620626882269
55,music/Rock/Radiohead - Creep.mp3,5.624102537721878e-07,0.4218327328598592,0.13175164058556285,0.8662729967526415,0.2501716229720725,0.659085295163573,0.38818580845732714
56,music/Electronic/The XX - Intro.mp3,1.0499547088701581e-06,0.46858751142541977,0.12518929833417466,0.8113825974992293,0.1398986273858255,0.7879266354651961,0.3888309533440924
57,music/Small Cover Song Library/Game of Thrones Theme.mp3,1.2709579328235833e-06,0.4595086642138255,0.13023725391216556,0.8031801284692354,0.12141674070441935,0.8217294564051674,0.38934558577712436
58,music/Sountrack/Game Of Thrones - Main Titles.mp3,1.2709579328235833e-06,0.4595086642138255,0.13023725391216556,0.8031801284692354,0.12141674070441935,0.8217294564051674,0.38934558577712436
59,music/Rock/Red Hot Chili Peppers - Snow (Hey Oh).mp3,4.147421354865101e-07,0.34549079279592715,0.22463402322059567,0.862920897529246,0.23523309836026912,0.6705333678454325,0.38980209908226765
60,music/Other Metal/Rings Of Saturn - The Macrocosm.mp3,1.0198400599853576e-06,0.3932236074059848,0.40030287733467945,0.5559659441753408,0.14253821333644034,0.8483589897098708,0.3900651086337294
61,music/New Pop/Boy - Little Numbers.mp3,2.643816769547491e-07,0.430596293789901,0.13427561837455831,0.770882896514997,0.0795668166664496,0.9275397052919222,0.3904769325032509
62,music/Old Pop/Marvin Gaye - Ain't No Mountain High Enough.mp3,3.687224113464355e-07,0.3861372830175778,0.14386673397274105,0.9507355466845668,0.06514997000943014,0.7993660462712626,0.3908759914463316
63,music/Black Metal/Uada - Black Autumn White Spring.mp3,1.0988844779770973e-06,0.44295485237201265,0.3962645128722867,0.5976428419406614,0.30286053540207253,0.6068812450257685,0.3911008477495466
64,music/Small Cover Song Library/AC DC - TNT (from Live At Donington).mp3,4.059567743023788e-07,0.3304879722632537,0.17415446744068652,0.8987815177284301,0.27286428950333574,0.6724511071460296,0.391456626673085
65,music/Sountrack/Outlander - Dance of the Druids (feat Raya Yarbrough).mp3,6.080194704059569e-07,0.5928855205617335,0.23573952549217567,0.782403871618327,0.12663975728758528,0.6111975473390927,0.39147780505306407
66,music/Melodic Death Metal/At The Gates - Slaughter of the Soul.mp3,1.5291539771136285e-06,0.4022823187292419,0.19636547198384655,0.8997086742984487,0.18963124007134377,0.6639060770705034,0.39198255188456027
67,music/Melodic Death Metal/Dark Tranquillity - Punish My Heaven.mp3,4.913433177284724e-07,0.3088158237413436,0.22614840989399293,0.8582332856285246,0.3028670474389567,0.6559106878168567,0.39199595764383205
68,music/Small Cover Song Library/Dark Tranquillity - Punish My Heaven.mp3,4.913433177284724e-07,0.3088158237413436,0.22614840989399293,0.8582332856285246,0.3028670474389567,0.6559106878168567,0.39199595764383205
69,music/Black Metal/Immortal - All Shall Fall.mp3,1.4257366061694313e-06,0.43607104323509566,0.2332155477031802,0.7930402444000645,0.1309876089138169,0.7656423769549182,0.3931597078239469
70,music/Rock/Blink-182 - Adam's Song.mp3,5.290825474026214e-07,0.3617301479246209,0.18879353861686018,0.8948096156770059,0.16310891284888238,0.7531452017718255,0.3935979909869571
71,music/Small Cover Song Library/Fuer Elise 2.mp3,0.0024358356050513505,0.6032636227705976,0.15598182735991922,0.7787764650880411,0.29024394794172115,0.5339350489542338,0.3941061246199274
72,music/Klassik Solo/Philippe Entremont Beethoven Bagatelle Für Elise .mp3,0.0024358356050513505,0.6032636227705976,0.15598182735991922,0.7787764650880411,0.29024394794172115,0.5339350489542338,0.3941061246199274
73,music/Jazz/Raphael Wressnig - September Nights.mp3,3.365586434655101e-07,0.42306934287119163,0.21504290762241293,0.8216801222222417,0.1764154902173366,0.7321528172332857,0.394726836120852
74,music/Small Cover Song Library/Serj Tankian - Empty Walls.mp3,3.379709700821314e-07,0.3425413753540749,0.23271075214538112,0.8199152632305183,0.20125775592392955,0.7908340986150377,0.39787659720665186
75,music/New Pop/Camila Cabello - Havana.mp3,1.2726267970914966e-07,0.4899529207344848,0.15446744068652196,0.9228992040387973,0.07684666625951769,0.744425022594055,0.3980985635960094
76,music/Old Pop/Corey Hart - Sunglasses At Night.mp3,3.0212848317171875e-07,0.3957921272447368,0.26552246340232205,0.7509102381744972,0.14450559647969846,0.8370466396611284,0.3989628945151444
77,music/Black Metal/Satyricon - Mother North.mp3,1.7185499329553752e-06,0.43748271732430494,0.3503281171125694,0.7381423709267787,0.36140238298309724,0.509583529246047,0.3994901393571217
